unitid,month,high_earning,post_scorecard,avg_index,n_keywords
100706,2013-04-01,1,0,0.327827395831196,20
100706,2013-05-01,1,0,-0.187570844009706,20
100706,2013-06-01,1,0,-0.367282088051551,25
100706,2013-07-01,1,0,-0.347133416697792,20
100706,2013-08-01,1,0,0.526053352077481,20
100706,2013-09-01,1,0,0.0266086617335435,25
100706,2013-10-01,1,0,0.099971230289671,20
100706,2013-11-01,1,0,-0.204600505716478,20
100706,2013-12-01,1,0,-0.408335482192902,25
100706,2014-01-01,1,0,0.389880145576133,20
100706,2014-02-01,1,0,0.498415174303964,20
100706,2014-03-01,1,0,-0.191861888620907,25
100706,2014-04-01,1,0,0.283622111857559,20
100706,2014-05-01,1,0,-0.184743116962454,20
100706,2014-06-01,1,0,-0.612196094248624,25
100706,2014-07-01,1,0,-0.167671615457168,20
100706,2014-08-01,1,0,0.155199248962542,25
100706,2014-09-01,1,0,0.11043533243868,20
100706,2014-10-01,1,0,0.26289762789984,20
100706,2014-11-01,1,0,0.0836560398990721,25
100706,2014-12-01,1,0,-0.284563355914099,20
100706,2015-01-01,1,0,0.396931752686877,20
100706,2015-02-01,1,0,-0.00194278633154999,20
100706,2015-03-01,1,0,0.0254599153253588,25
100706,2015-04-01,1,0,0.204371597953259,20
100706,2015-05-01,1,0,-0.277365475113587,25
100706,2015-06-01,1,0,-0.443256943074137,20
100706,2015-07-01,1,0,-0.277979376228109,20
100706,2015-08-01,1,0,0.663961437478323,25
100706,2015-09-01,1,1,0.0431640457743307,20
100706,2015-10-01,1,1,0.181964557367653,20
100706,2015-11-01,1,1,0.118191745480988,25
100706,2015-12-01,1,1,-0.658701997340395,20
100706,2016-01-01,1,1,0.309798431812931,25
100706,2016-02-01,1,1,-0.117743330661131,20
100706,2016-03-01,1,1,0.134824724590955,15
100724,2013-03-01,0,0,-0.556676711425051,10
100724,2013-04-01,0,0,0.0177794289431989,20
100724,2013-05-01,0,0,-0.344451308627141,20
100724,2013-06-01,0,0,-0.380605939296968,25
100724,2013-07-01,0,0,-0.262244725655058,20
100724,2013-08-01,0,0,0.398362087444243,20
100724,2013-09-01,0,0,0.71227698421394,25
100724,2013-10-01,0,0,0.636473283899194,20
100724,2013-11-01,0,0,0.925779755867113,20
100724,2013-12-01,0,0,-0.0116941331453546,25
100724,2014-01-01,0,0,0.189374650931314,20
100724,2014-02-01,0,0,0.051877537176864,20
100724,2014-03-01,0,0,-0.228870600503014,25
100724,2014-04-01,0,0,-0.252209142374636,20
100724,2014-05-01,0,0,-0.24952585643811,20
100724,2014-06-01,0,0,-0.697004967888973,25
100724,2014-07-01,0,0,-0.67160583606228,20
100724,2014-08-01,0,0,0.117786950790627,25
100724,2014-09-01,0,0,0.539041020793093,20
100724,2014-10-01,0,0,0.665716300057051,20
100724,2014-11-01,0,0,0.984399117017367,25
100724,2014-12-01,0,0,0.714476669150814,20
100724,2015-01-01,0,0,-0.0756788315532275,20
100724,2015-02-01,0,0,-0.227034833444135,20
100724,2015-03-01,0,0,-0.472433858400727,25
100724,2015-04-01,0,0,-0.301511413110908,20
100724,2015-05-01,0,0,-0.681535359034232,25
100724,2015-06-01,0,0,-0.93421025644841,20
100724,2015-07-01,0,0,-0.740255993121499,20
100724,2015-08-01,0,0,-0.0808026433069423,25
100724,2015-09-01,0,1,0.645888335090358,20
